ZTFID,n_raw,n_clean,n_removed,ref_band,t_peak_mjd,win_lo,win_hi,n_g,n_r,corroborated,verdict,reason
ZTF21abdxhgv,311,60,251.0,r,59396.15,59369.3,59434.2,24.0,36.0,True,ok,good for colour
ZTF21abieuta,131,38,93.0,r,59406.92,59392.4,59453.3,9.0,29.0,True,ok,good for colour
ZTF21abimeun,25,8,17.0,r,59402.73,59394.4,59410.4,1.0,7.0,True,ok_single,ok but one band sparse for colour
ZTF21abimnii,115,37,78.0,r,59416.72,59394.4,59486.2,13.0,24.0,True,ok,good for colour
ZTF21abklcjq,544,146,398.0,r,59425.69,59404.4,59480.2,59.0,87.0,True,ok,good for colour
ZTF21abmjgwf,952,221,731.0,r,59431.89,59412.4,59525.2,90.0,131.0,True,ok,good for colour
ZTF21abmlldj,988,138,850.0,r,59452.06,59403.4,59561.2,60.0,78.0,True,ok,good for colour
ZTF21abmxiuf,332,151,181.0,r,59446.11,59417.5,59629.2,55.0,96.0,True,ok,good for colour
ZTF21abngbrl,50,18,32.0,r,59427.54,59412.4,59470.4,7.0,11.0,True,ok,good for colour
ZTF21abplhpw,161,45,116.0,r,59442.24,59424.4,59526.2,18.0,27.0,True,ok,good for colour
ZTF21abpwtde,122,34,88.0,r,59446.03,59424.4,59517.2,9.0,25.0,True,ok,good for colour
ZTF21abraccv,710,212,498.0,r,59446.93,59430.3,59532.1,89.0,123.0,True,ok,good for colour
ZTF21abrqria,210,42,168.0,g,59460.21,59460.2,59532.4,21.0,21.0,True,insufficient,"ref g: 21 epochs, bracketed=False"
ZTF21abrqrsz,83,13,70.0,r,59442.81,59434.5,59451.5,0.0,13.0,True,ok_single,ok but one band sparse for colour
ZTF21absyjff,302,84,218.0,g,59488.22,59434.2,59529.1,45.0,39.0,True,ok,good for colour
ZTF21abvcugy,66,20,46.0,r,59460.77,59451.5,59477.4,10.0,10.0,True,ok,good for colour
ZTF21abvcuhk,173,47,126.0,r,59459.09,59454.5,59474.3,17.0,30.0,True,ok,good for colour
ZTF21acbnfos,119,38,81.0,r,59480.93,59468.5,59537.4,15.0,23.0,True,ok,good for colour
ZTF21accwovq,101,35,66.0,r,59518.37,59468.5,59540.3,18.0,17.0,True,ok,good for colour
ZTF21acdqgns,37,12,25.0,r,59478.24,59478.2,59494.3,2.0,10.0,True,insufficient,"ref r: 10 epochs, bracketed=False"
ZTF21acdxhuv,510,147,363.0,r,59496.8,59484.2,59550.2,63.0,84.0,True,ok,good for colour
ZTF21aceehxt,119,29,90.0,r,59498.9,59484.5,59540.3,10.0,19.0,True,ok,good for colour
ZTF21acekmmm,142,30,112.0,r,59502.74,59488.1,59543.1,13.0,17.0,True,ok,good for colour
ZTF21acgxypn,102,20,82.0,r,59515.03,59497.3,59540.2,6.0,14.0,True,ok,good for colour
ZTF21achgfbk,189,47,142.0,r,59518.35,59498.4,59560.2,20.0,27.0,True,ok,good for colour
ZTF21aciuhqw,416,107,309.0,r,59526.74,59512.1,59599.1,47.0,60.0,True,ok,good for colour
ZTF21aciwixf,61,19,42.0,r,59527.18,59514.9,59548.3,6.0,13.0,True,ok,good for colour
ZTF21acizqkx,17,7,10.0,r,59509.27,59509.3,59523.3,2.0,5.0,True,insufficient,"ref r: 5 epochs, bracketed=False"
ZTF21acjxzsa,76,12,64.0,r,59539.1,59522.5,59550.3,6.0,6.0,True,ok,good for colour
ZTF21aclzzhu,18,4,14.0,r,59525.52,59525.5,59532.5,1.0,3.0,True,insufficient,"ref r: 3 epochs, bracketed=False"
ZTF22aadeuwu,536,135,401.0,r,59692.99,59670.4,59823.3,49.0,86.0,True,ok,good for colour
ZTF22aadnjsh,68,24,44.0,r,59687.72,59671.3,59710.2,10.0,14.0,True,ok,good for colour
ZTF22aadoihx,186,45,141.0,r,59683.24,59674.3,59740.2,10.0,35.0,True,ok,good for colour
ZTF22aadqlhy,805,90,715.0,r,59691.7,59671.5,59808.2,34.0,56.0,True,ok,good for colour
ZTF22aaebkwd,143,48,95.0,r,59685.27,59676.4,59702.3,20.0,28.0,True,ok,good for colour
ZTF22aaezyos,901,217,684.0,r,59713.35,59675.3,59792.0,84.0,133.0,True,ok,good for colour
